resources,replicate,organism,betadiversity,betadiversity_turnover,betadiversity_gain_loss
high,1,bacteria,0.972602739726027,0.9559686888454012,0.0440313111545988
high,2,bacteria,0.827814569536424,0.869859849068227,0.130140150931773
high,3,bacteria,0.91,0.9374576271186441,0.0625423728813559
high,4,bacteria,0.928,0.9168275862068965,0.0831724137931035
high,5,bacteria,0.838709677419355,0.661290322580645,0.338709677419355
high,6,bacteria,0.964664310954064,0.965891244601492,0.034108755398508
low,1,bacteria,0.93939393939394,0.9754996776273372,0.0245003223726628
low,2,bacteria,0.757575757575758,0.8614718614718611,0.138528138528139
low,3,bacteria,0.947674418604651,0.9682134318626386,0.0317865681373614
low,4,bacteria,0.841860465116279,0.870003941663382,0.129996058336618
low,5,bacteria,0.830508474576271,0.9130812690134724,0.0869187309865276
low,6,bacteria,0.895470383275261,0.9630201827624745,0.0369798172375255
high,1,phage,0.98547215496368,0.9946602953674455,0.00533970463255456
high,2,phage,0.986206896551724,0.9943756277201206,0.00562437227987948
high,3,phage,0.970149253731343,0.9863724853990915,0.0136275146009085
high,4,phage,0.983739837398374,0.9914667741718739,0.00853322582812605
high,5,phage,0.894736842105263,0.9354518371400199,0.0645481628599801
high,6,phage,0.991752577319588,0.9978847283798943,0.00211527162010576
low,1,phage,0.990074441687345,0.9947740431611399,0.00522595683886006
low,2,phage,0.862068965517241,0.804597701149425,0.195402298850575
low,3,phage,0.992523364485981,0.9993794695221159,0.000620530477884142
low,4,phage,0.992452830188679,0.9966776045939294,0.00332239540607055
low,5,phage,0.893805309734513,0.883972468043265,0.116027531956735
low,6,phage,0.980327868852459,0.9899691608505113,0.0100308391494887
