"resources","replicate","n_bacteriaPhen","n_phagePhen","n_interactions","connectance","nestedness_bacteria","nestedness_phages","nestedness_network"
"low",1,67,78,1881,0.359931113662457,0.805222137525543,0.841245614439225,0.825969836254309
"high",1,41,80,1599,0.4875,0.744122436554143,0.733377307786516,0.735591128286379
"low",2,7,10,42,0.6,0.904761904761905,0.913333333333333,0.910606060606061
"high",2,23,56,720,0.559006211180124,0.732456153939403,0.78994208395373,0.781830572356617
"low",3,60,105,1981,0.314444444444444,0.661070645243918,0.713398283709519,0.700587783006322
"high",3,32,49,519,0.330994897959184,0.885222118564923,0.901851110907231,0.896918108394202
"low",4,31,52,829,0.514267990074442,0.822934558563581,0.788705324024248,0.797592311216202
"high",4,42,71,1318,0.441985244802146,0.864469063942418,0.759262278950647,0.786334317766521
"low",5,15,19,159,0.557894736842105,0.962012114869258,0.958705345986048,0.959963355887269
"high",5,19,25,164,0.345263157894737,0.951342582044336,0.931946428571429,0.938988344163503
"low",6,47,58,1789,0.656272927366104,0.867343470399254,0.859655059784397,0.862694990974836
"high",6,53,94,2336,0.468887996788438,0.838533136504933,0.840862707821314,0.840304323880808
