"resources","replicate","timeStep","organism","nPhen"
"low",1,1,"bacteria",5
"high",1,1,"bacteria",20
"low",2,1,"bacteria",5
"high",2,1,"bacteria",13
"low",3,1,"bacteria",11
"high",3,1,"bacteria",9
"low",4,1,"bacteria",14
"high",4,1,"bacteria",18
"low",5,1,"bacteria",6
"high",5,1,"bacteria",14
"low",6,1,"bacteria",10
"high",6,1,"bacteria",18
"low",1,2,"bacteria",9
"high",1,2,"bacteria",7
"low",2,2,"bacteria",1
"high",2,2,"bacteria",3
"low",3,2,"bacteria",14
"high",3,2,"bacteria",8
"low",4,2,"bacteria",13
"high",4,2,"bacteria",18
"low",5,2,"bacteria",4
"high",5,2,"bacteria",0
"low",6,2,"bacteria",17
"high",6,2,"bacteria",18
"low",1,3,"bacteria",14
"high",1,3,"bacteria",13
"low",2,3,"bacteria",2
"high",2,3,"bacteria",6
"low",3,3,"bacteria",19
"high",3,3,"bacteria",10
"low",4,3,"bacteria",1
"high",4,3,"bacteria",6
"low",5,3,"bacteria",1
"high",5,3,"bacteria",5
"low",6,3,"bacteria",10
"high",6,3,"bacteria",12
"low",1,4,"bacteria",19
"high",1,4,"bacteria",2
"low",2,4,"bacteria",0
"high",2,4,"bacteria",2
"low",3,4,"bacteria",16
"high",3,4,"bacteria",5
"low",4,4,"bacteria",0
"high",4,4,"bacteria",1
"low",5,4,"bacteria",1
"high",5,4,"bacteria",1
"low",6,4,"bacteria",7
"high",6,4,"bacteria",6
"low",1,5,"bacteria",18
"high",1,5,"bacteria",0
"low",2,5,"bacteria",0
"high",2,5,"bacteria",0
"low",3,5,"bacteria",5
"high",3,5,"bacteria",1
"low",4,5,"bacteria",3
"high",4,5,"bacteria",0
"low",5,5,"bacteria",4
"high",5,5,"bacteria",0
"low",6,5,"bacteria",4
"high",6,5,"bacteria",0
"low",1,6,"bacteria",3
"high",1,6,"bacteria",0
"low",2,6,"bacteria",0
"high",2,6,"bacteria",0
"low",3,6,"bacteria",0
"high",3,6,"bacteria",0
"low",4,6,"bacteria",1
"high",4,6,"bacteria",0
"low",5,6,"bacteria",2
"high",5,6,"bacteria",0
"low",6,6,"bacteria",0
"high",6,6,"bacteria",0
"low",1,1,"phage",19
"high",1,1,"phage",7
"low",2,1,"phage",6
"high",2,1,"phage",14
"low",3,1,"phage",17
"high",3,1,"phage",10
"low",4,1,"phage",14
"high",4,1,"phage",9
"low",5,1,"phage",5
"high",5,1,"phage",6
"low",6,1,"phage",4
"high",6,1,"phage",4
"low",1,2,"phage",20
"high",1,2,"phage",9
"low",2,2,"phage",4
"high",2,2,"phage",10
"low",3,2,"phage",19
"high",3,2,"phage",5
"low",4,2,"phage",7
"high",4,2,"phage",18
"low",5,2,"phage",7
"high",5,2,"phage",6
"low",6,2,"phage",17
"high",6,2,"phage",17
"low",1,3,"phage",20
"high",1,3,"phage",6
"low",2,3,"phage",0
"high",2,3,"phage",1
"low",3,3,"phage",12
"high",3,3,"phage",15
"low",4,3,"phage",7
"high",4,3,"phage",1
"low",5,3,"phage",6
"high",5,3,"phage",8
"low",6,3,"phage",14
"high",6,3,"phage",20
"low",1,4,"phage",15
"high",1,4,"phage",20
"low",2,4,"phage",0
"high",2,4,"phage",6
"low",3,4,"phage",19
"high",3,4,"phage",13
"low",4,4,"phage",2
"high",4,4,"phage",20
"low",5,4,"phage",1
"high",5,4,"phage",4
"low",6,4,"phage",3
"high",6,4,"phage",20
"low",1,5,"phage",1
"high",1,5,"phage",20
"low",2,5,"phage",0
"high",2,5,"phage",15
"low",3,5,"phage",20
"high",3,5,"phage",3
"low",4,5,"phage",13
"high",4,5,"phage",8
"low",5,5,"phage",0
"high",5,5,"phage",1
"low",6,5,"phage",13
"high",6,5,"phage",20
"low",1,6,"phage",4
"high",1,6,"phage",18
"low",2,6,"phage",0
"high",2,6,"phage",10
"low",3,6,"phage",18
"high",3,6,"phage",4
"low",4,6,"phage",9
"high",4,6,"phage",16
"low",5,6,"phage",0
"high",5,6,"phage",1
"low",6,6,"phage",7
"high",6,6,"phage",14
